# Fecha de creación: 04-12-2024 22:32:42
Equipo	Puntaje
4	39
5	39
15	39
0	36
1	33
17	33
3	30
8	30
10	30
13	30
18	30
19	30
9	27
12	27
7	24
14	22
16	22
2	18
11	18
6	12
