# Fecha de creación: 04-12-2024 22:32:42
Equipo	Puntaje
16	42
3	39
4	39
5	36
17	36
19	36
0	34
6	33
18	33
7	30
14	30
2	25
10	24
13	24
9	21
11	21
1	18
8	18
12	15
15	15
