# Fecha de creación: 04-12-2024 22:32:42
Equipo	Puntaje
17	39
0	38
6	37
4	36
16	33
9	31
3	30
10	30
14	30
2	28
15	28
11	27
19	27
8	25
18	25
7	24
12	24
13	22
1	18
5	18
