# Fecha de creación: 04-12-2024 22:32:42
Equipo	Puntaje
9	38
0	37
2	36
8	33
12	33
17	33
1	30
7	30
14	30
15	30
3	28
11	28
16	25
5	24
6	24
13	24
18	24
10	22
4	21
19	21
