# Fecha de creación: 04-12-2024 22:32:42
Equipo	Puntaje
7	38
12	37
0	36
3	33
5	33
8	33
11	33
4	30
17	30
14	28
18	28
9	27
13	27
19	27
6	25
15	24
2	22
1	21
10	21
16	18
